"MNAME","USTAR","STORY","DIR","YEAR","GRADE"
"충돌: 아랍의 봄, 그 이후",1000,"이슬람주의자 무르시 대통령의 축출 직후 수감된 시위대를 태운 트럭이 거리를 질주한다. 트럭에 갇 힌 시위대는 서로의 이데올로기를 극복하고 생존을 택할 수 있을까? 
?
?[제18회 전주국제영화제]","모하메드 디아브",2016,"12세 관람가"
"하모니움",1000,"막 출소한 야사카가 집으로 찾아오자, 토시오는 공장에서 자신의 일을 도우며 함께 기거하도록 방을 내어준다. 하지만 그 선택은 되돌릴 수 없는 파국을 야기하며, 단란했던 토시오의 가정은 야사카로 인해 큰 위기를 겪게 되는데. 
?[2016년 제21회 부산국제영화제]","후카다 코지",2016,"NULL"
"퍼스널 어페어스",1000,"NULL","마하 하즈",2016,"NULL"
"비욘드 더 마운틴즈 앤드 힐스",1000,"NULL","에란 콜리린",2016,"NULL"
"산티스 씨의 기나긴 밤",1000,"1977년 군부독재정권하의 부에노스아이레스. 40대 회사원 프란시스코 산티스의 유일한 걱정은 오랫동안 기다려온 승진 여부다. 하지만 그를 기다리고 있는 것은 승진이 아니라 20년 만에 그를 찾아온 대학 시절 친구 엘레나다. 그녀는 곧 군대에 의해 체포될 위기에 처한 두 남자에게 은밀히 경고해 달라는 부탁을 남긴다. 밤이 찾아오고, 산티스는 생면부지의 남자들을 위해 위험을 감수할지 무시해 버릴지 고민에 빠진다. <산티스 씨의 기나긴 밤>은 젊은 시절 혁명을 꿈꿨지만 이제는 평범한 회사원인 한 남자의 정치적 자의식과 도덕을 하룻밤 동안의 시험대에 올린다. 성공할지 실패할지 모르는 그의 임무는 서사를 이끄는 원동력이지만, 시간이 갈수록 관객을 사로잡는 건 정치적 명분과 공포 사이를 오가며 증폭되는 산티스의 편집증, 그리고 이를 시청각적으로 전달하는 전형적인 필름 느와르의 양식이다. 당대를 재연하는 꼼꼼한 고증을 바탕으로 세심하게 고려된 촬영과 조명이 돋보인다. 
?
?[제21회 부산국제영화제]","프란시스코 말퀘즈",2016,"NULL"
"올리 마키의 가장 행복한 날",1000,"1962년 월드 페더급 복싱 챔피언의 영광을 코앞에 둔 올리 마키에게 문제가 생겼다. 감정조절이 되지 않아 체중 감량과 타이틀 매치 준비가 잘 되지 않는 것. 무슨 소리냐고? 갑자기 사랑이 찾아왔기 때문이다. 
? 20대 중반의 복서가 주인공인 이 영화는 기존의 복싱 영화와는 차별화되는 이야기 진행방식과 미학을 보여준다는 점에서 돋보인다. 스포츠 영화를 볼 때 일반적으로 갖게 되는 기대감인 시합 자체의 리얼함과 선수들의 액션에 초점을 맞추기보다, 반드시 챔피언이 되어야 한다는 의무감과 사랑에 대한 개인적 욕구 사이에서 방황하는 인물의 심리와 행동에 주목한다. 그럼으로써 러브 스토리의 측면이 스포츠물의 비중만큼이나 두드러지며, 특히 사랑하는 남녀의 얼굴을 비춤으로써 주관적인 서정성을 담는 샷들은 주목할 만하다. 16미리 흑백 필름을 사용함으로써 1960년대라는 시대 분위기와 당시의 보도방식을 그대로 살리려 한 것 또한 스포츠 영화의 구태의연한 스펙터클에서 벗어나는 미학적 선택이다. 영화의 제목은 코치가 올리를 격려하며 챔피언쉽을 거머쥐면 인생 최고의 날을 맞이할 것이라고 하는 대사에서 따왔지만, 영화를 보고 나면 훨씬 더 의미심장하게 다가올 것이다. 무엇보다 사랑에는 장사가 없다는 교훈을 다시금 절감하게 만드는 이 장편 데뷔작은 올해 칸영화제 주목할만한시선 대상을 수상하였다.
?
?[제21회 부산국제영화제]","주호 쿠오스마넨",2016,"NULL"
"들개",1000,"로만은 할아버지에게 물려받은 우크라이나 국경 인근의 땅으로 돌아온다. 황량한 대지를 팔기로 결정한 그에게 해당 지역 경찰은 절대로 그 지역을 떠나지 않겠다고 경고한다. 
?
?[제18회 전주국제영화제]","보그단 미리카",2016,"NULL"
"페리클스 더 블랙",1000,"리클레 스칼조네는 벨기에에서 이민 온 카모리 당원 돈 루이지를 위해 속칭 “사람을 부숴버리는” 일을 한다. 페리클레는 임무 중 큰 실수를 저지르게 되고, 파란만장한 도피 생활을 하다 프랑스에 도착한다. 그리고 그곳에서 아나스타시아를 만나게 된다. 아나스타시아는 페리클레를 편견 없이 맞아주었고, 그는 그곳에서 새로운 삶의 가능성을 되찾는다. 그러나 그를 뒤쫓는 과거와 의심들에서 벗어날 수 없는데……
?
?[제 8회 이탈리아영화제]","스테파노 모디니",2016,"NULL"
"뱀파이어 소년",1000,"뱀파이어 이야기에 푹 빠진 마일로는 특이한 소녀 소피를 만난다. 친해진 두 사람은 마일로의 어두운 환상을 현실로 만들기 위한 노력을 시작한다. 
?
?[제18회 전주국제영화제]","마이클 오셰어",2016,"NULL"
"스튜던트",1000,"10대소년 베냐는 성경신봉자이다. 늘 언제나 성경책을 끼고 다니며 매사에 성경말씀에 따라 살아가고자 한다.?여학생들이 비키니를 입고, 남학생들과 같이 수영하는 것은 성경에 위배되는 행위라며 수영수업을 거부하고, 성교육시간에도 신이 주신 능력을 인위적으로 막는 것은 성경에 위배되는 행위라며 난동을 부리게 된다.?이런 베냐를 그 어떤 선생님도 감당 할 수 없게 되고, 그는 아이들에게 있어 점점 더 신격화 되어간다.?그러던 중 생물선생님인 옐레나는 이런 베냐를 그대로 보고만 있을 수 없어 ‘성경에는 성경이 답이다’ 라며 성경공부를 시작한다. ?여느 날과 같이 성경에 입각하여 수업시간을 방해하던 베냐는 성경구절로 반박하는 옐레나에게 당황하게 되고, 그녀가 점점 눈엣가시처럼 보이기 시작하는데…","키릴 세레브렌니코프",2016,"청소년 관람불가"
"김미 데인저",1000,"1960년대 후반 음악계에 큰 반향을 일으킨 스투지스의 과격한 록 음악은 이후 등장한 펑크 록과 얼터너티브 록의 토대가 된다. 
?
?[제18회 전주국제영화제]","짐 자무쉬",2016,"청소년 관람불가"
"더 라스트 리조트",1000,"NULL","타노스 안나스토폴로스",2016,"NULL"
"이센 아브레, 차드의 비극",1000,"2013년 차드의 독재자 후세인 아브레가 세네갈에서 체포되면서 정권에 맞선 사람들의 기나긴 싸움이 마침내 끝난다. 마하마트 살레 하룬은 비극에서 살아남은 생존자들을 찾아 나선다. 
?
?[제18회 전주국제영화제]","마하마트 살레 하룬",2016,"NULL"
"추방자",1000,"추방은 유기이며 무서운 고독이다. 추방당한 사람은 자아를 상실하고 괴로워하며 서서히 사라지지만 자신을 발견하는 기회가 될 수도 있다. 추방은 모든 일의 시작이다. 
?
?[제18회 전주국제영화제]","리티 판",2015,"NULL"
"루이 14세의 죽음",1000,"1715년 8월. 루이 14세가 다리의 통증을 호소한다. 그는 이후 며칠간 고통과 고열에 시달리면서도 공식적인 직무를 수행하기 위해 애쓰지만 점점 쇠약해진다. 프랑스의 가장 위대한 왕의 마지막 날들은 이렇게 시작되었다. 장피에르 레오에게 ‘인생의 배역’을 안긴 그림 같은 영화. 
?[2016년 제21회 부산국제영화제]","알베르트 세라",2016,"NULL"
"르 컹크",1000,"NULL","폴 베쉬알리",2016,"NULL"
"인 더 힐스",1000,"NULL","하미드 아마디",2016,"NULL"
"섭마린",1000,"NULL","모우니아 AKL",2016,"NULL"
"더 노이즈 오브 릭킹",1000,"고양이는 이웃의 여자가 이국적인 화분을 돌보는 것을 매일 지켜본다. 이 기묘한 의식은 고양이가 종적을 감추며 막을 내린다. 다시 봄이 오고, 기이한 남자가 그녀를 방문한다.
?
?[제18회 부천국제애니메이션페스티벌]","나디아 안드라세브",2016,"NULL"
"올 리버스 런 투 더 씨",1000,"NULL","알렉산드루 바데아",2016,"NULL"
"썸웨어",1000,"인터넷 쇼핑에 빠져있던 남자는 세상 끝으로의 여정을 시작한다. 
?
?[제18회 부천국제애니메이션페스티벌]","멜로디 불리시에르",2016,"NULL"
"개버 러버",1000,"NULL","안나 카제나브 캄벳",2016,"NULL"
"더 알란 디멘션",1000,"NULL","젝 클린치",2016,"NULL"
"트라쉬",1000,"NULL","알렉산더 길멧",2016,"NULL"
"파인",1000,"NULL","마르타 헤르니즈 피달",2016,"NULL"
"더 길트, 프로바블리",1000,"NULL","미카엘 라바카",2016,"NULL"
"더 리즌즈 인 더 월드",1000,"NULL","어네스토 마르티네즈 부치오",2015,"NULL"
"1킬로그램",1000,"5년 전, 어린 아들을 잃은 민영. 그녀는 ‘아이 잃은 엄마들의 모임’에 참석했다가 누군가의 웃음소리를 듣는다.
?
?[제14회 아시아나국제단편영화제]","박영주",2015,"NULL"
"아람",1000,"NULL","페레슈테 파니안",2016,"NULL"
"네스트",1000,"NULL","사우랍 라이",2016,"NULL"
"더 슬리핑 세인트",1000,"NULL","라우라 사마니",2016,"NULL"
"궂은 날씨",1000,"월리의 어린 시절은 어머니의 알코올 중독으로 인해 점점 엉망이 되고 있다. 그녀는 중독의 과잉과 결과를 직접 경험한다. 8살짜리 아이는 어떻게 해서라도 자신과 가족의 정상적인 삶을 유지하기 위해 노력한다. 무력감, 과도한 요구와 절박함 사이에서 롤러코스터 타기가 시작된다. 이것은 생존을 위한 일상의 투쟁이다.
?
?[제11회 서울국제초단편영화제]","레모 쉐레",2016,"NULL"
"애나",1000,"NULL","오르 시나이",2015,"NULL"
"비지니스",1000,"NULL","마레나 베인",2016,"NULL"
"양의 법칙",1000,"양을 마켓에 팔러가기 위해 낡은 밴을 타고 튀니지 사막을 가는 동안, 노인과 그의 손자는 두 경찰관 때문에 멈춰선다. 떠나기 위해서 그들은 이상하고 비정상적인 거래를 받아들여야 한다. 
?
?[제8회 서울국제초단편영화제]","로프티 아슈어",2016,"NULL"
"드림랜즈",1000,"NULL","사라 던롭",2016,"NULL"
"타임코드",1000,"루나와 디에고는 주차장 보안 요원이다. 디에고는 밤에, 루나는 낮에 근무를 한다.
?
?[제14회 아시아나국제단편영화제]","주안조 지멘네즈 페나",2016,"NULL"
"이마고",1000,"북적대는 마닐라의 빈민가에 어둠이 내리고, 중년여성이 바쁘게 병원을 향한다. 불법적인 거래를 주고받고 임무를 완수하기 위해 길을 나서지만 도로를 지키는 경찰로 인해 난관에 봉착한다. 
?[2016년 제21회 부산국제영화제]","레이먼드 쿠티에레즈",2016,"NULL"
"마더",1000,"NULL","사이먼 메사 소토",2016,"NULL"
"더 걸 후 댄스드 위드 더 데빌",1000,"NULL","조아오 파올로 미란다 마리아",2016,"NULL"
"아프레 수잔느",1000,"NULL","펠릭스 모아티",2016,"NULL"
"4:15 P.M. 더 앤드 오브 더 월드",1000,"NULL","카탈린 로다루",2016,"NULL"
"침묵",1000,"파트마와 그녀의 어머니는 쿠르드 난민으로 이탈리아에 머물고 있다. 병원에 진료를 보러 간 자리, 의사가 어머니에게 하는 말을 통역해야 하지만 그녀는 침묵을 지킨다.
?
?[제19회 서울국제여성영화제]","앨리 아스가리",2016,"NULL"
"어느 날 스웨덴 해변에서",1000,"해변에서의 엄청난 싸움! 나치식 인사를 하고 상대의 아내를 걸레라고 부르면 싸움이 날 만도! 
?
?[제34회 부산국제단편영화제]","시몬 발네",2016,"NULL"
"더 그레이트 와이드 오픈",1000,"NULL","시아란 둘리",2015,"NULL"
"더 셰도우 오브 아워 투게더네스",1000,"NULL","아이샤 타일러",2015,"NULL"
"우먼 오브 더 하우스",1000,"NULL","아이단 깁슨",2015,"NULL"
"스노우맨",1000,"NULL","조나단 브러프",2014,"NULL"
"젤로스",1000,"NULL","토라나 시거다도",2015,"NULL"
"어덜트 퓨버티",1000,"NULL","다고 로드리게즈",2015,"NULL"
"게임 온",1000,"NULL","제니퍼 크리스틀",2015,"NULL"
"허 퍼스트 블랙 가이",1000,"NULL","샘 오스터",2015,"NULL"
"더 리스너",1000,"NULL","마이클 길훌리",2014,"NULL"
"더 트리트먼트",1000,"NULL","마빈 메이앤드래쉬",2015,"NULL"
"플라이스파이",1000,"NULL","다니엘 M. 스미스",2016,"NULL"
"오프 트랙",1000,"NULL","제이피 제이콥센",2014,"NULL"
"더 그라운드 빌로우",1000,"NULL","마크 드 버티어",2016,"NULL"
"토탈리 프리",1000,"NULL","다니엘 소아레스",2015,"NULL"
"크로스",1000,"NULL","게리 마라빌라",2015,"NULL"
"제이다",1000,"NULL","더그 롤랜드",2016,"NULL"
"삶은 어려워",1000,"검은 점으로 이어진 삶에 관한 다섯 개의 짧은 시퀀스.
?
?[제 11회 최강애니전]","시몬 슈넬만",2015,"NULL"
"테더",1000,"NULL","이브 시밍턴",2015,"NULL"
"마다란",1000,"NULL","레이카 제타브치",2015,"NULL"
"마카라오",1000,"NULL","이야보 콰야나",2015,"NULL"
"아트 인 해븐",1000,"NULL","제시카 엘리사 보이드",2016,"NULL"
"어 사인",1000,"NULL","돈 던켄",2014,"NULL"
"카우보이즈",1000,"NULL","베르나베 리코",2014,"NULL"
"언 어프랜티스",1000,"NULL","쉐인 하퍼",2015,"NULL"
"레터 투 갓",1000,"NULL","마리아 이브라히모바",2014,"NULL"
"올 디즈 보이세스",1000,"NULL","데이비드 거슨",2015,"NULL"
"트레이스 오브 마이 브라더",1000,"NULL","모리츠 마예르호퍼",2015,"NULL"
"범비에",1000,"NULL","잭 샘플",2015,"NULL"
"웜",1000,"NULL","베키 제임스",2015,"NULL"
"초콜렛 푸딩",1000,"NULL","조나타스 다 실바",2015,"NULL"
"위드아웃",1000,"NULL","파올라 시니스갈리",2015,"NULL"
"더 레드 하우스",1000,"NULL","지아치 린",2014,"NULL"
"더 토우",1000,"NULL","이안 보헨",2016,"NULL"
"론 테일러: Dr. 베이스볼",1000,"NULL","드류 테일러",2015,"NULL"
"짜타리",1000,"NULL","데이비드 가리",2016,"NULL"
"더 로틴",1000,"NULL","에밀리 K. 벡",2015,"NULL"
"브릭스 앤 더 비치",1000,"NULL","니코 레이노",2015,"NULL"
"벌룬",1000,"NULL","알렉시스 O. 코리신스키",2015,"NULL"
"베일",1000,"NULL","벤 카디",2015,"NULL"
"하트브레이크 & 뷰티",1000,"NULL","제네비에브 클레이",2015,"NULL"
"하우 유 룩 앳 잇",1000,"NULL","웬디 세이브",2015,"NULL"
"스월",1000,"NULL","란스 맥다니엘",2015,"NULL"
"플레인 솔레일",1000,"NULL","프레드 카스타도트",2015,"NULL"
"워스 더 웨잇",1000,"NULL","조엘 P. 베리",2016,"NULL"
"어 프라우드 우먼",1000,"NULL","샘 오스본",2014,"NULL"
"썸띵스 디프런트 어바웃 펠릭스 웨더",1000,"NULL","맷 루삭",2016,"NULL"
"퍼스트 월드 프로블럼스",1000,"NULL","한나 메이렛",2015,"NULL"
"도로시스 시크릿",1000,"NULL","매튜 맥패드진",2015,"NULL"
"헉스",1000,"NULL","마게이나 토바",2016,"NULL"
"더라이트 씨프",1000,"NULL","에바 도우드",2015,"NULL"
"더 보이스 인사이드",1000,"NULL","조나단 톰슨",2015,"NULL"
"더 랜드 오브 노드",1000,"NULL","조슈아 딜런 멜라즈",2016,"NULL"
"더 피어 오브 디사피어링",1000,"NULL","조슈아 세이겔",2015,"NULL"
"미션 디스커넥트",1000,"NULL","라마 수라카",2015,"NULL"
"알렉스 & 실비아",1000,"NULL","크리스티앙 레이첼",2015,"NULL"
"더 키즈 프롬 62-F",1000,"NULL","이마니 샤커",2015,"NULL"
"원 데이 온 카버 St.",1000,"NULL","아주레 알렌",2015,"NULL"
"프레자일",1000,"NULL","닐로 바틀",2016,"NULL"
"키드냅 시티",6.8,"애리조나주 피닉스에서는 불법적으로 국경을 건너려는 이민자들을 겨냥한 인신매매 납치가 성행하고 있다. 이번에도 달콤한 꿈을 꾸며 미국 땅을 밟은 이들은 영문도 모른 채 어딘가로 끌려가, 먼저 잡혀온 사람들과 함께 좁은 방 안에 갇혀 지내게 된다. 치욕스러운 환경에서 매일매일 폭행이 자행되고, 자그마치 2,800 달러를 지불해야만 그 곳에서 벗어날 수 있다고 하는데…","필립 로드리게즈",2016,"15세 관람가"
"오펀즈 & 킹덤즈",1000,"NULL","파올로 로톤도",2015,"NULL"
"매드타운",1000,"NULL","찰스 무어",2016,"R"
"토토",1000,"NULL","존 폴 수",2015,"NULL"
"딜리케이트 띵스",1000,"NULL","패트릭 맥스웰",2016,"NULL"
"어 라이징 타이드",1000,"NULL","벤 힉커넬",2015,"NULL"
"존 레논 리포트",1000,"가벼운 오토바이 사고로 병원에 실려오게 된 뉴스 프로듀서 ‘앨런 와이스’
?응급실에서 치료를 기다리던 중 그는 총상을 입고 실려온 신원미상의 남성이 전설적인 뮤지션 ‘존 레논’이라는 놀라운 사실을 알게 된다.
?같은 시간, 수술실 안에서는 최고의 의료진들이 존 레논을 살리기 위해 모든 노력을 기울이고, 아내 오노 요코는 마음을 졸이며 수술 결과를 기다리는데… 
?
?1980년 12월 8일 전세계를 뒤흔든 존 레논 피습사건, 그 전말이 공개된다!","제레미 프로페",2015,"12세 관람가"
"커밍 쓰루 더 라이",1000,"NULL","제임스 스티븐 새드위드",2015,"PG-13"
"비욘드 왓 리메인즈",1000,"NULL","피터 사로스",2016,"NULL"
"콜비",1000,"NULL","알렉스 마크맨",2016,"NULL"
"레슬링 예루살렘",1000,"NULL","딜란 커스먼",2016,"NULL"
"언인디언",1000,"NULL","아누팜 샤마",2015,"NULL"
"포퓰레이션 제로",9.36,"다큐멘터리 감독 줄리안은 익명의 제보자로부터
?5년 전 떠들썩했던 ‘옐로스톤 살인사건’에 관련된 제보를 받는다.
?청년 셋을 죽인 범인인 드웨인이 법의 사각지대를 이용해
?기소되지 않고 풀려났다는 것.
?
?줄리안은 사건의 진실을 찾아 피해자의 유가족과
?당시 사건에 관여했던 이들을 만나 인터뷰를 시작한다.
?사건의 진실에 근접할수록 지금껏 밝혀지지 않았던 단서를 알아내고
?마침내 드웨인과 마주한 줄리안은 충격적인 진실을 알게 되는데...","줄리안 T. 핀더",2016,"15세 관람가"
"티어 미 어파트",1000,"NULL","알렉스 라이트먼",2015,"NULL"
"썸머 오브 8",1000,"NULL","라이언 슈왈츠",2016,"NULL"
"킵 인 터치",1000,"NULL","샘 크래치마",2015,"NULL"
"더 락",1000,"NULL","하미드 자파리",2015,"NULL"
"쇼 비지니스",1000,"NULL","알렉산더 토바르",2015,"NULL"
"어 보이 콜드 포",1000,"NULL","존 애셔",2016,"PG"
"노바디 웍스 인 L.A.",1000,"NULL","제스 샤피로",2016,"NULL"
"쇼잉 루츠",1000,"NULL","마이클 윌슨",2016,"NULL"
"페어",1000,"NULL","토마스 토리",2016,"NULL"
"버디문",1000,"NULL","알렉스 시몬스",2016,"NULL"
"킬러 더 머니",5.4,"한적한 곳에서 부유하게 살아가는 마크(켈란 루츠)와 실비아(제스 웨이슬러) 부부는 마크의 친구 숀(제시 윌리엄스)를 불러 저녁을 먹기로 한다.
?숀의 애인 크리스티나(루시아 구에레로)까지 합세해 저녁을 즐기던 네 사람에게 의문의 남자 존(제이미 뱀버)가 찾아오고, 실비아는 호감형인 새 이웃을 일행에게 소개한다.
?하지만 예상과 달리 불편한 대화가 오가기 시작하고, 존은 서서히 본색을 드러내기 시작하는데…","마틴 로제트",2016,"15세 관람가"
"버디문",1000,"NULL","알렉스 시몬스",2016,"NULL"
"더 모어 띵스 체인지",1000,"NULL","네이슨 마이어스",2015,"NULL"
"원 빅 홈",1000,"NULL","토마스 베나",2016,"NULL"
"오렌지 썬샤인",1000,"NULL","윌리엄 A. 커클리",2016,"NULL"
"에피타프",1000,"NULL","루벤 이마즈",2015,"NULL"
"어웨이크",1000,"시각장애인 안나의 적막한 집에 낯선 여인 도린이 방문한다. 도린 역시 시각장애인이다. 비관적인 성격의 안나는 사교적인 도린에게 거부감을 느끼고 그녀를 돌려보내려 한다. 그러다 현관문이 잠기는 해프닝이 벌어지고 이를 계기로 그녀들은 하루를 함께 보낸다. 이를 통해 안나는 자신만의 닫힌 세계를 깨고 일상의 작은 행복을 경험한다. 보지 않아도 느낄 수 있고, 서로 달라도 어우러질 수 있다. 실제 시각장애인인 배우의 연기와 간결한 연출이 돋보이는 영화다. (김은정) 
?
?[제33회 부산국제단편영화제]","미카엘 악트먼",2015,"NULL"
"서바이벌",1000,"아비규환의 전쟁지역, 그 어딘가에 적막하고 고요한 한 저수지가 보인다. 곧 하늘에서 비명 소리와 함께 사람 하나가 물속으로 떨어진다. 저수지 위의 보트에는 사망한 사람의 시계 및 귀금속을 줍게 하는 권력자와 다이버가 있다. 그들의 갑을 운명은 언제까지 지속될 것인가? <서바이벌>은 이권과 권력다툼으로 상징되는 중동의 아비규환을 기발한 상상력과 비유로 그려낸 수작이다. (정성욱)
?
?[제33회 부산국제단편영화제]","마소우드 하타미",2015,"NULL"
